揹包	背包
臺	台
映象	鏡像
繫結	綁定
公用事業	公共項目
整型	整數型
型別	類型
坐標	座標
熱鍵	快捷鍵
介面	界面
辅助功能设置…	協助工具設定...
按下Enter键启用复述功能	按下 Enter 以啟用朗讀功能
欢迎进入Minecraft！\n\n需要启用复述功能或访问辅助功能设置吗？	歡迎遊玩 Minecraft！\n\n需要啟用朗讀功能或是調整協助工具設定嗎？
完成	完成
服务器地址	伺服器位址
服务器名称	伺服器名稱
服务器资源包	伺服器資源包
禁用	已停用
启用	已啟用
询问	提示
编辑服务器信息	編輯伺服器資訊
控制台命令	控制台指令
模式	模式
循环	重複
保持开启	永遠啟動
条件制约	有條件
脉冲	脈衝
红石控制	需要紅石
连锁	連鎖
不受制约	無條件
必须是处于创造模式的管理员	必須是創造模式中的管理員
此服务器未启用命令方块	這個伺服器不允許使用指令方塊
上一个输出	先前輸出
设置此方块的控制台命令	設定指令方塊的指令
成功设置命令：%s	指令設為：%s
记录输出	追蹤資料輸出
触发方式	觸發
类型	類型
未知的进度：%s	未知的進度：%s
发现所有的生物群系	發現每個生態域
探索的时光	探險時光
用弩一发击杀五只不同的生物	用弩一擊射殺五種生物
劲弩手	重弩手
在幽匿感测体或监守者周围潜行以防被它们探测到	在伏聆振測器或伏守者附近潛行以避免被偵測
潜行100级	潛行力 100
反弹旋风人的风弹来击杀旋风人	反彈旋風使者的風彈來擊殺它
逆风翻盘	逆風翻盤
用刷子从犰狳身上获得犰狳鳞甲	使用刷子從犰狳身上取得犰狳鱗甲
这不是鳞甲么？	莫非這是鱗甲？
从至少30米外射中标靶的靶心	從至少30公尺外擊中標靶的靶心
正中靶心	正中紅心
用4个陶片制作饰纹陶罐	將四塊陶器碎片組成飾紋陶罐
精修细补	精修細補
靠近一个正在合成合成器的合成器	靠近一台正在合成合成器的合成器
合成器合成合成器	合成器合成合成器
从世界顶部（建筑高度限制处）自由落体，坠至世界底部并存活下来	從世界的最高處（建築高度限制）落至底部並存活
上天入地	洞穴與山崖
将嘎枝之心以正确朝向放在两个苍白橡木原木方块中间	將嘎枝之心以正確方向放置在兩個蒼白橡木原木之間
移心接木	移心接木
成功在袭击中保卫村庄	成功在突襲中守住村莊
村庄英雄	村莊英雄
跳入蜂蜜块以缓冲摔落	跳向蜂蜜塊安全滑落地面
胶着状态	陷入膠著
杀死任意敌对性怪物	殺死任何敵對怪物
怪物猎人	魔物獵人
杀死每一种敌对性怪物	殺死每種敵對怪物各一隻
资深怪物猎人	獵取怪物
在幽匿催发体附近杀死生物	在伏聆觸媒旁殺死生物
它蔓延了	它蔓延了
用斧刮削铜灯来让它变得更亮	用斧頭為銅燈除鏽使其更加明亮
铜光焕发	銅光煥發
在不引发火灾的前提下保护村民免受雷击	保護村民不受雷擊的飛來橫禍，以免發生火災
电涌保护器	突波保護器
踏入试炼密室	踏入試煉密室
Minecraft：试炼版	Minecraft: 試煉版
用弩进行一次射击	用弩發射箭矢
扣下悬刀	扣下扳機
使用重锤一击造成50颗心的伤害	使用重錘一擊造成50顆心的傷害
天赐良击	天賜良擊
用唱片机的音乐声为草甸增添生机	用唱片機的音樂為草甸注入生命力
音乐之声	真善美
使用红石比较器获取雕纹书架的信号强度	使用紅石比較器讀取浮雕書櫃的紅石訊號
知识就是力量	知書就是力量
用不祥试炼钥匙解锁不祥宝库	用不祥試煉鑰匙解鎖不祥寶庫
宝经磨炼	逢凶化吉
冒险、探索与战斗	冒險、探索和戰鬥
冒险	冒險
刷扫可疑的方块来获得陶片	刷拭可疑的方塊以取得陶器碎片
探古寻源	探古尋源
用弓箭射点什么	使用箭矢射擊任何東西
瞄准目标	瞄準
在床上睡觉以改变你的重生点	在床上睡覺以變更您的重生點
甜蜜的梦	甜美的夢
从至少50米外射杀一只骷髅	在距50公尺遠外的地方射殺一隻骷髏
狙击手的对决	狙擊手對決
透过望远镜观察末影龙	使用望遠鏡觀察終界龍
那是飞机吗？	那是飛機嗎？
透过望远镜观察恶魂	使用望遠鏡觀察地獄幽靈
那是气球吗？	那是氣球嗎？
透过望远镜观察鹦鹉	使用望遠鏡觀察鸚鵡
那是鸟吗？	那是鳥嗎？
召唤一只铁傀儡来帮忙守卫村庄	生成一隻鐵魔像以協助保衛村莊
招募援兵	招兵買馬
往什么东西扔出三叉戟。\n注：别把你唯一的武器也抖掉了。	將三叉戟擲向任何物品。\n注意：拋棄你僅有的武器並不是個好主意。
